层索引,激活率(%),平均值(Sigmoid),最大值(Sigmoid),最小值(Sigmoid)
0,32.65806579589844,0.3296452760696411,0.9999617338180542,0.0001392690755892545
1,9.62027645111084,0.1467650979757309,0.9998108744621277,4.3274860217934474e-05
2,19.485828399658203,0.2758738696575165,0.9992104768753052,0.00010010532423621044
3,15.86119270324707,0.2053053230047226,0.9999872446060181,8.581146175856702e-06
4,10.846657752990723,0.1317864954471588,0.9999473094940186,3.2359497708966956e-05
5,16.86046600341797,0.1864294707775116,0.9999849796295166,1.8758042642730288e-05
6,12.182049751281738,0.1474589705467224,0.9998562335968018,2.9233458917587996e-05
7,13.054142951965332,0.1541236788034439,0.9998005032539368,3.420740176807158e-05
8,13.835392951965332,0.17252039909362793,0.9999405145645142,8.668794180266559e-06
9,12.172965049743652,0.1592632383108139,0.9999194145202637,5.444993348646676e-06
10,14.089753150939941,0.1757374256849289,0.9999927282333374,2.9705446650041267e-05
11,14.880086898803711,0.18017219007015228,0.9999958276748657,8.93012747837929e-06
12,16.89680290222168,0.19927652180194855,0.9999902248382568,7.004386134212837e-06
13,16.64244270324707,0.1990346759557724,0.999993085861206,2.5215467758243904e-06
14,17.7961483001709,0.20667602121829987,0.9999923706054688,1.910587161546573e-05
15,17.22383689880371,0.19923962652683258,0.9999386072158813,5.196992788114585e-06
16,18.450218200683594,0.2113572061061859,0.9998581409454346,1.0701743121899199e-05
17,17.450944900512695,0.20382703840732574,0.9995777010917664,9.574803698342294e-06
18,18.795421600341797,0.2114073783159256,0.9999825954437256,2.041778679995332e-05
19,17.896076202392578,0.20507504045963287,0.9999997615814209,7.706215910729952e-06
20,18.377544403076172,0.21127034723758698,0.9999799728393555,7.772368007863406e-06
21,18.050508499145508,0.20720337331295013,0.9999970197677612,1.6663367205183022e-05
22,17.46002960205078,0.20208603143692017,0.9999994039535522,7.5382272370916326e-06
23,17.71438980102539,0.20578430593013763,0.9999951124191284,1.9589465409808327e-06
24,17.941497802734375,0.20752336084842682,0.9999970197677612,1.7339626765533467e-06
25,19.85828399658203,0.22151370346546173,0.9999992847442627,6.012610356265213e-06
26,21.729650497436523,0.2363428920507431,0.9999980926513672,3.107096063104109e-06
27,19.976381301879883,0.22023023664951324,0.9999896287918091,3.353773536218796e-06
28,19.24055290222168,0.21515005826950073,0.9999479055404663,3.071424316658522e-06
29,19.049781799316406,0.21329247951507568,0.9999774694442749,2.3966213120729662e-06
30,21.402616500854492,0.23566536605358124,0.9999837875366211,6.258453595364699e-06
31,25.190771102905273,0.261989563703537,0.9999904632568359,3.0449398309428943e-06
32,21.575218200683594,0.23469197750091553,0.9999545812606812,8.611650628154166e-06
33,20.830305099487305,0.22983551025390625,0.9999902248382568,1.628512791285175e-06
34,20.012718200683594,0.21959735453128815,0.999963641166687,3.515065827741637e-06
35,24.136991500854492,0.25563111901283264,0.9999825954437256,2.0361612484975922e-07
